cylinders, $displacement, $horsepower, <weight, >acceleration,$model, origin, >!mpg
6, 145, 76, 3160, 19.6, 81, 2, 30
4, 107, 90, 2430, 14.5, 70, 2, 20
8, 304.0, 193, 4732, 18.5, 70, 1, 10
4, 140, 72, 2565, 13.6, 76, 1, 30
4, 140, 72, 2408, 19, 71, 1, 20
4, 140, 88, 2890, 17.3, 79, 1, 20
6, 232, 100, 2789, 15, 73, 1, 20
8, 400, 230, 4278, 9.5, 73, 1, 20
8, 351, 149, 4335, 14.5, 77, 1, 20
6, 232, 90, 3085, 17.6, 76, 1, 20
4, 90, 70, 1937, 14.2, 76, 2, 30
4, 116, 81, 2220, 16.9, 76, 2, 30
4, 130, 102, 3150, 15.7, 76, 2, 20
4, 91, 53, 1795, 17.5, 75, 3, 30
4, 89, 71, 1990, 14.9, 78, 2, 30
4, 135, 84, 2490, 15.7, 81, 1, 30
4, 98, ?, 2046, 19, 71, 1, 30
4, 151, ?, 3035, 20.5, 82, 1, 20
4, 122, 80, 2451, 16.5, 74, 1, 30
4, 113, 95, 2372, 15, 70, 3, 20
4, 116, 75, 2246, 14, 74, 2, 30
4, 85, 70, 1990, 17, 76, 3, 30
6, 250, 100, 3329, 15.5, 71, 1, 20
4, 86, 65, 2019, 16.4, 80, 3, 40
6, 232, 90, 3265, 18.2, 79, 1, 20
8, 351, 148, 4657, 13.5, 75, 1, 10
8, 350, 170, 4165, 11.4, 77, 1, 20
3, 80, 110, 2720, 13.5, 77, 3, 20
4, 85, 70, 1945, 16.8, 77, 3, 30
4, 97, 67, 2145, 18, 80, 3, 30
6, 258, 95, 3193, 17.8, 76, 1, 20
4, 120, 97, 2489, 15, 74, 3, 20
4, 122, 88, 2500, 15.1, 80, 2, 40
4, 140, 86, 2790, 15.6, 82, 1, 30
5, 183, 77, 3530, 20.1, 79, 2, 30
6, 232, 90, 3210, 17.2, 78, 1, 20
8, 351, 153, 4129, 13, 72, 1, 10
4, 110, 87, 2672, 17.5, 70, 2, 30
4, 140, 92, 2572, 14.9, 76, 1, 30
8, 304, 150, 4257, 15.5, 74, 1, 10
8, 318, 210, 4382, 13.5, 70, 1, 10
4, 85, 70, 2070, 18.6, 78, 3, 40
4, 119, 100, 2615, 14.8, 81, 3, 30
4, 140, 88, 2720, 15.4, 78, 1, 30
6, 250, 98, 3525, 19, 77, 1, 20
4, 151, 85, 2855, 17.6, 78, 1, 20
6, 250, 88, 3302, 15.5, 71, 1, 20
4, 119, 97, 2545, 17, 75, 3, 20
4, 91, 68, 1985, 16, 81, 3, 30
4, 120, 97, 2506, 14.5, 72, 3, 20
4, 98, 80, 2164, 15, 72, 1, 30
8, 350, 145, 3988, 13, 73, 1, 10
6, 225, 105, 3613, 16.5, 74, 1, 20
4, 105, 63, 2125, 14.7, 82, 1, 40
4, 121, 76, 2511, 18, 72, 2, 20
4, 98, 63, 2051, 17, 77, 1, 30
8, 390, 190, 3850, 8.5, 70, 1, 20
4, 85, 52, 2035, 22.2, 76, 1, 30
8, 350, 145, 4055, 12, 76, 1, 10
6, 225, 95, 3264, 16, 75, 1, 20
4, 140, 89, 2755, 15.8, 77, 1, 30
4, 86, 65, 1975, 15.2, 79, 3, 30
6, 163, 133, 3410, 15.8, 78, 2, 20
4, 105, 74, 2190, 14.2, 81, 2, 30
4, 108, 70, 2245, 16.9, 82, 3, 30
4, 91, 67, 1965, 15, 82, 3, 40
6, 250, 78, 3574, 21, 76, 1, 20
6, 250, 88, 3021, 16.5, 73, 1, 20
4, 100, ?, 2320, 15.8, 81, 2, 30
8, 302, 130, 4295, 14.9, 77, 1, 20
4, 76, 52, 1649, 16.5, 74, 3, 30
6, 168, 116, 2900, 12.6, 81, 3, 30
4, 105, 75, 2230, 14.5, 78, 1, 30
4, 79, 70, 2074, 19.5, 71, 2, 30
4, 108, 75, 2350, 16.8, 81, 3, 30
4, 98, 70, 2120, 15.5, 80, 1, 30
6, 250, 105, 3459, 16, 75, 1, 20
4, 151, 90, 2556, 13.2, 79, 1, 30
8, 260, 110, 4060, 19, 77, 1, 20
6, 250, 72, 3432, 21, 75, 1, 20
6, 225, 110, 3360, 16.6, 79, 1, 20
4, 119, 97, 2300, 14.7, 78, 3, 30
4, 98, 65, 2045, 16.2, 81, 1, 30
4, 91, 60, 1800, 16.4, 78, 3, 40
6, 173, 115, 2595, 11.3, 79, 1, 30
4, 91, 53, 1795, 17.4, 76, 3, 30
4, 98, 79, 2255, 17.7, 76, 1, 30
6, 200, 81, 3012, 17.6, 76, 1, 20
8, 400, 175, 4385, 12, 72, 1, 10
8, 350, 155, 4502, 13.5, 72, 1, 10
6, 200, 85, 2965, 15.8, 78, 1, 20
8, 350, 180, 4380, 12.1, 76, 1, 20
4, 79, 67, 1963, 15.5, 74, 2, 30
8, 454, 220, 4354, 9, 70, 1, 10
6, 231, 105, 3380, 15.8, 78, 1, 20
4, 85, 65, 2110, 19.2, 80, 3, 40
8, 455, 225, 3086, 10, 70, 1, 10
6, 181, 110, 2945, 16.4, 82, 1, 30
4, 105, 74, 1980, 15.3, 82, 2, 40
